TOP.6144e472.0007cdfe	START
TOP.6144e8ed.00011571	user_options->bitmap_max	18
TOP.6144e8ed.00011571	user_options->bitmap_min	16
TOP.6144e8ed.00011571	user_options->debug_mode	0
TOP.6144e8ed.00011571	user_options->hash_info	0
TOP.6144e8ed.00011571	user_options->force	0
TOP.6144e8ed.00011571	user_options->hwmon_disable	0
TOP.6144e8ed.00011571	user_options->hwmon_temp_abort	90
TOP.6144e8ed.00011571	user_options->hash_mode	1000
TOP.6144e8ed.00011571	user_options->hex_charset	0
TOP.6144e8ed.00011571	user_options->hex_salt	0
TOP.6144e8ed.00011571	user_options->hex_wordlist	0
TOP.6144e8ed.00011571	user_options->hook_threads	4
TOP.6144e8ed.00011571	user_options->identify	0
TOP.6144e8ed.00011571	user_options->increment	0
TOP.6144e8ed.00011571	user_options->increment_max	256
TOP.6144e8ed.00011571	user_options->increment_min	1
TOP.6144e8ed.00011571	user_options->keep_guessing	0
TOP.6144e8ed.00011571	user_options->kernel_accel	0
TOP.6144e8ed.00011571	user_options->kernel_loops	0
TOP.6144e8ed.00011571	user_options->kernel_threads	0
TOP.6144e8ed.00011571	user_options->keyspace	0
TOP.6144e8ed.00011571	user_options->left	0
TOP.6144e8ed.00011571	user_options->logfile_disable	0
TOP.6144e8ed.00011571	user_options->loopback	0
TOP.6144e8ed.00011571	user_options->machine_readable	0
TOP.6144e8ed.00011571	user_options->markov_classic	0
TOP.6144e8ed.00011571	user_options->markov_disable	0
TOP.6144e8ed.00011571	user_options->markov_inverse	0
TOP.6144e8ed.00011571	user_options->markov_threshold	256
TOP.6144e8ed.00011571	user_options->multiply_accel_disable	0
TOP.6144e8ed.00011571	user_options->backend_info	0
TOP.6144e8ed.00011571	user_options->backend_vector_width	0
TOP.6144e8ed.00011571	user_options->optimized_kernel_enable	0
TOP.6144e8ed.00011571	user_options->outfile_autohex	1
TOP.6144e8ed.00011571	user_options->outfile_check_timer	5
TOP.6144e8ed.00011571	user_options->outfile_format	3
TOP.6144e8ed.00011571	user_options->wordlist_autohex_disable	0
TOP.6144e8ed.00011571	user_options->potfile_disable	0
TOP.6144e8ed.00011571	user_options->progress_only	0
TOP.6144e8ed.00011571	user_options->quiet	0
TOP.6144e8ed.00011571	user_options->remove	0
TOP.6144e8ed.00011571	user_options->remove_timer	60
TOP.6144e8ed.00011571	user_options->restore	0
TOP.6144e8ed.00011571	user_options->restore_disable	0
TOP.6144e8ed.00011571	user_options->restore_timer	60
